js-product-link href,js-search-image src,js-product-link href (2),listing-product__brand,listing-product__title,price__standard-price,price__rrp-price,price__rrp-saving
https://www.sigmasports.com/item/Specialized/S-Works-Tarmac-SL8-Frameset/14VDL,https://dbyvw4eroffpi.cloudfront.net/product-media/76PY/304/304/Specialized-S-Works-Tarmac-SL8-Frameset-Gloss-Red-To-Black-Pearl-Over-Deep-Lake-Metallic-Satin-Metallic-Obsidian.jpg,https://www.sigmasports.com/item/Specialized/S-Works-Tarmac-SL8-Frameset/14VDL,Specialized,S-Works Tarmac SL8 Frameset,"£3,999.00","RRP £5,000.00",Save 20%
https://www.sigmasports.com/item/Specialized/Tarmac-SL7-Sport-Road-Bike-2025/14U74,https://dbyvw4eroffpi.cloudfront.net/product-media/7FX4/304/304/Specialized-Tarmac-SL7-Sport-Road-Bike-2025-Gloss-Carbon-Metallic-Dark-Navy.jpg,https://www.sigmasports.com/item/Specialized/Tarmac-SL7-Sport-Road-Bike-2025/14U74,Specialized,Tarmac SL7 Sport Road Bike 2025,"£1,999.00","RRP £2,799.00",Save 29%
https://www.sigmasports.com/item/Elite/Fly-Tex-Bottle-950ml/12QL0,https://dbyvw4eroffpi.cloudfront.net/product-media/70EA/304/304/Elite-Fly-Tex-Bottle-950ml-Black.jpg,https://www.sigmasports.com/item/Elite/Fly-Tex-Bottle-950ml/12QL0,Elite,Fly Tex Bottle 950ml,£5.89,RRP £8.00,Save 26%
https://www.sigmasports.com/item/Science-in-Sport/Go-Hydro-20-Tablets/1RVM,https://dbyvw4eroffpi.cloudfront.net/product-media/334Z/304/304/Science-in-Sport-Go-Hydro-Tablets.jpg,https://www.sigmasports.com/item/Science-in-Sport/Go-Hydro-20-Tablets/1RVM,Science in Sport,Go Hydro 20 Tablets,£5.00,RRP £8.00,Save 38%
https://www.sigmasports.com/item/Pinarello/F7-Ultegra-Di2-Disc-Road-Bike/149W8,https://dbyvw4eroffpi.cloudfront.net/product-media/6UP9/304/304/Pinarello-F7-Ultegra-Di2-Ultrafast-Disc-Road-Bike-Razor-Red.jpg,https://www.sigmasports.com/item/Pinarello/F7-Ultegra-Di2-Disc-Road-Bike/149W8,Pinarello,F7 Ultegra Di2 Disc Road Bike,"£5,500.00","RRP £7,000.00",Save 21%
https://www.sigmasports.com/item/Universal-Colours/Biodegradable-Bottle-500ml/UHHY,https://dbyvw4eroffpi.cloudfront.net/product-media/4Y1D/304/304/Universal-Colours-Biodegradable-Bottle-500ml-Black.jpg,https://www.sigmasports.com/item/Universal-Colours/Biodegradable-Bottle-500ml/UHHY,Universal Colours,Biodegradable Bottle 500ml,£7.00,RRP £10.00,Save 30%
https://www.sigmasports.com/item/Castelli/Espresso-Thermal-Long-Sleeve-Jersey/138OM,https://dbyvw4eroffpi.cloudfront.net/product-media/754N/304/304/Castelli-Espresso-Thermal-Long-Sleeve-Jersey-Light-Black.jpg,https://www.sigmasports.com/item/Castelli/Espresso-Thermal-Long-Sleeve-Jersey/138OM,Castelli,Espresso Thermal Long Sleeve Jersey,£65.00,RRP £140.00,Save 54%
https://www.sigmasports.com/item/Garmin/Edge-1040-GPS-Cycling-Computer/Y6HO,https://dbyvw4eroffpi.cloudfront.net/product-media/63OE/304/304/Garmin-Edge-1040-GPS-Cycling-Computer-Black.jpg,https://www.sigmasports.com/item/Garmin/Edge-1040-GPS-Cycling-Computer/Y6HO,Garmin,Edge 1040 GPS Cycling Computer,£349.99,RRP £439.99,Save 20%
https://www.sigmasports.com/item/Garmin/Epix-Pro-Sapphire-51mm-Multisport-GPS-Watch/122OQ,https://dbyvw4eroffpi.cloudfront.net/product-media/6VNI/304/304/Garmin-Epix-Pro-51-Sapphire-Multisport-GPS-Watch-Carbon-Grey-Black.jpg,https://www.sigmasports.com/item/Garmin/Epix-Pro-Sapphire-51mm-Multisport-GPS-Watch/122OQ,Garmin,Epix Pro Sapphire 51mm Multisport GPS Watch,£475.00,RRP £799.99,Save 41%
https://www.sigmasports.com/item/Universal-Colours/Mono-Short-Sleeve-Jersey/10QJE,https://dbyvw4eroffpi.cloudfront.net/product-media/62H6/304/304/Universal-Colours-Mono-Short-Sleeve-Jersey-Green-Daze.jpg,https://www.sigmasports.com/item/Universal-Colours/Mono-Short-Sleeve-Jersey/10QJE,Universal Colours,Mono Short Sleeve Jersey,£50.00,RRP £100.00,Save 50%
https://www.sigmasports.com/item/Universal-Colours/Mono-Womens-Short-Sleeve-Jersey/10QQO,https://dbyvw4eroffpi.cloudfront.net/product-media/62I0/304/304/Universal-Colours-Mono-Womens-Short-Sleeve-Jersey-French-Blue.jpg,https://www.sigmasports.com/item/Universal-Colours/Mono-Womens-Short-Sleeve-Jersey/10QQO,Universal Colours,Mono Womens Short Sleeve Jersey,£50.00,RRP £100.00,Save 50%
https://www.sigmasports.com/item/Castelli/Explore-Velocissimo-Thermal-Bib-Tights/15V41,https://dbyvw4eroffpi.cloudfront.net/product-media/7PHC/304/304/Castelli-Explore-Velocissimo-Thermal-Bib-Tights-Black.jpg,https://www.sigmasports.com/item/Castelli/Explore-Velocissimo-Thermal-Bib-Tights/15V41,Castelli,Explore Velocissimo Thermal Bib Tights,£90.00,,
https://www.sigmasports.com/item/Rapha/Pro-Team-Long-Sleeve-Lightweight-Jersey/16WHB,https://dbyvw4eroffpi.cloudfront.net/product-media/7T7P/304/304/Rapha-Pro-Team-Long-Sleeve-Lightweight-Jersey-Light-Blue-Blue.jpg,https://www.sigmasports.com/item/Rapha/Pro-Team-Long-Sleeve-Lightweight-Jersey/16WHB,Rapha,Pro Team Long Sleeve Lightweight Jersey,£72.99,RRP £135.00,Save 46%
https://www.sigmasports.com/item/Rapha/Pro-Team-Long-Sleeve-Midweight-Jersey/167CI,https://dbyvw4eroffpi.cloudfront.net/product-media/7PKQ/304/304/Rapha-Pro-Team-Long-Sleeve-Midweight-Jersey-Blue-White.jpg,https://www.sigmasports.com/item/Rapha/Pro-Team-Long-Sleeve-Midweight-Jersey/167CI,Rapha,Pro Team Long Sleeve Midweight Jersey,£99.00,RRP £165.00,Save 40%
https://www.sigmasports.com/item/Castelli/Salto-2-Cycling-Jacket/16C1N,https://dbyvw4eroffpi.cloudfront.net/product-media/7SL6/304/304/Castelli-Salto-2-Cycling-Jacket-Tarmac.jpg,https://www.sigmasports.com/item/Castelli/Salto-2-Cycling-Jacket/16C1N,Castelli,Salto 2 Cycling Jacket,£89.00,RRP £190.00,Save 53%
